uri,download link,filename
https://bdebooks.com/books/kalpo-bigganer-golpo-by-leela-majumdar,dl.bdebooks.com/index.php/s/gn88cWo9DAFP2gP/download,Kalpo Bigganer Golpo By Leela Majumdar (BDeBooks.Com).pdf
https://bdebooks.com/books/milok-graher-manush-by-adrish-bardhan,dl.bdebooks.com/index.php/s/9HGSKCtw6dEQESa/download,Milok graher  manush by Adrish Bardhan - (BdeBooks.Com).pdf
https://bdebooks.com/books/neurone-onuronon-by-muhammed-zafar-iqbal-and-muhammad-kaykobad,dl.bdebooks.com/index.php/s/GyzkqH72GPGHbnW/download,Neurone Abaro Anuranan by Muhammed Zafar Iqbal & Mohammad Kayokobad (BDeBooks.Com).pdf
https://bdebooks.com/books/quantum-mechanics-by-muhammed-zafar-iqbal,dl.bdebooks.com/index.php/s/wF2Fn2ozLDkoa6X/download,Quantum Mechanics by Muhammed Zafar Iqbal (BDeBooks.Com).pdf
https://bdebooks.com/books/sarbanese-bhul-anko-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/nppS2dzK8JAKeGF/download,Sarbanese Bhul Anko by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/dragon-samagra-by-sri-swapan-kumar,dl.bdebooks.com/index.php/s/7Y72NKyxak2MNz3/download,Dragon Samagra 1 by Sri Swapan Kumar - (BdeBooks.Com).pdf
https://bdebooks.com/books/neurone-abaro-anuranan-by-muhammed-zafar-iqbal-mohammad-kayokobad,dl.bdebooks.com/index.php/s/GyzkqH72GPGHbnW/download,Neurone Abaro Anuranan by Muhammed Zafar Iqbal & Mohammad Kayokobad (BDeBooks.Com).pdf
https://bdebooks.com/books/sera-kolpo-biggan-by-anish-deb,dl.bdebooks.com/index.php/s/cKmnZ2D4z6JWqmt/download,Sera Kolpobiggan by Anish Deb - (BdeBooks.Com).pdf
https://bdebooks.com/books/boro-saheb-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/cHtgRBT97sB9HsS/download,Boro Saheb By Shirshendu Mukhopadhyay (BDeBooks.Com).pdf
https://bdebooks.com/books/bismayar-indrajal-by-nihar-ranjan-gupta,dl.bdebooks.com/index.php/s/BbWr4ggQpSWzc4z/download,Bismayar Indrajal By  Nihar Ranjan Gupta (bdebooks.com).pdf
https://bdebooks.com/books/bible-quran-o-biggan-by-maurice-bucaille,dl.bdebooks.com/index.php/s/eEfcq3C8zLEaTi3/download,"Bible Quran O Biggan (The Bible, The Qur'an and Science) Maurice Bucaille (BDeBooks.Com).pdf"
https://bdebooks.com/books/aloukik-noy-loukik-by-prabir-ghosh,dl.bdebooks.com/index.php/s/DD7w5kGmQjw2CAm/download,Aloukik Noi Loukik 1 by Probir ghosh - (BdeBooks.Com).pdf
https://bdebooks.com/books/bede-khuda-prosongo-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/jSD7nzZyTjqYAJZ/download,Bede shongsoy o nastiko by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/prachin-bharate-samaj-o-sahitya-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/f8EngWbFbFEawPD/download,Prachin vharote somaj o shahittya by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/athorbabed-shonghita-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/WSy3XbdtfQdGjzB/download,Athorbabed shonghita by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/bede-songsoy-o-nastiko-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/jSD7nzZyTjqYAJZ/download,Bede shongsoy o nastiko by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/apekkhik-mullayane-ramayan-o-mahavarat-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/wxoekKPdtN7Gt33/download,Aronnyak six part by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/bedangko-sutro-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/FnKSoZsmxp2bCd7/download,Bedangko sutro eight part by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/dampotter-sharop-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/k2H9WSeTmSs9ZoK/download,Dampotter sharop by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/prabandhasangraha-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/3pt2NAbDF8Tp9s3/download,Prabandhasangraha 1 by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/aronnyak-six-part-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/wxoekKPdtN7Gt33/download,Aronnyak six part by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/prachin-bharate-nari-o-samaj-by-sukumari-bhattacharya,dl.bdebooks.com/index.php/s/AMAry3bMAnjM9q2/download,Prachin vharote nari o shomaj by Sukumari Bhattacharya - (BdeBooks.Com).pdf
https://bdebooks.com/books/anyo-keu-by-ahsan-habib,dl.bdebooks.com/index.php/s/xMasR63ee6MEjkt/download,Anyo Keu by Ahsan Habib - (BdeBooks.Com).pdf
https://bdebooks.com/books/rammo-samagrang-2-by-ahsan-habib,dl.bdebooks.com/index.php/s/RPsF8RgHLCtpMfQ/download,Rammo Samagrang 02 By Ahsan Habib (bdebooks.com).pdf
https://bdebooks.com/books/compu-cartoon-by-ahsan-habib,dl.bdebooks.com/index.php/s/CPjRrcMCKTHobSZ/download,Compu Cartoon by Ahsan Habib - (BdeBooks.Com).pdf
https://bdebooks.com/books/tigers-jumping-club-by-ahsan-habib,dl.bdebooks.com/index.php/s/J6J2PEHdPQSwoyY/download,Tigers Jumping Club By Ahsan Habib (BDeBooks.Com).pdf
https://bdebooks.com/books/ekti-pray-voyongkor-golpo-by-ahsan-habib,dl.bdebooks.com/index.php/s/roAaSmyq9afE7GC/download,Ekti Pray Voyongkor Golpo by Ahsan Habib - (BdeBooks.Com).pdf
https://bdebooks.com/books/unmad-ramrama-ramya-by-ahsan-habib,dl.bdebooks.com/index.php/s/xgS2NJB8Zjw3AeM/download,Ramrama Ramya by Ahsan Habib - (BdeBooks.Com).pdf
